"time_budget","reach+ss","reach+si","arcflags+ss","arcflags+si"
"300","7.2","3.2","2.1","1.2"
"400","6.2","2.9","2.1","1.1"
"500","8.2","3.0","2.3","1.1"
"600","7.1","3.0","2.5","1.2"
"700","8.6","2.3","2.1","1.2"
