"time_budget","reach+ss","reach+si","arcflags+ss","arcflags+si"
"300","15.0","5.5","1.1","1.1"
"400","13.0","5.2","1.1","1.1"
"500","12.0","4.3","1.1","1.0"
"600","17.0","5.2","1.1","1.1"
"700","17.0","5.5","1.2","1.1"
