"time_budget","ss","si","reach+ss","reach+si","arcflags+ss","arcflags+si"
"300","1142.1","249.2","229.3","83.8","1090.3","242.0"
"500","3168.5","673.5","635.3","224.2","3060.9","651.0"
"700","6224.9","1242.1","1252.9","399.2","5972.5","1194.3"
"900","10423.6","2073.2","2082.4","658.1","10455.3","2087.6"
