"time_budget","ss","si","reach+ss","reach+si","arcflags+ss","arcflags+si"
"300","108.1396","24.1473","7.3201","4.4037","101.3961","22.2240"
"400","209.0076","44.2571","15.5974","8.5189","198.7668","41.0548"
"500","337.7313","69.4501","28.5705","16.2930","311.5377","66.2435"
"600","525.1899","102.7234","30.6313","19.8757","465.7407","93.9772"
"700","714.5284","142.2887","41.2172","26.0711","620.2102","132.3792"
