"time_budget","reach+ss","reach+si","arcflags+ss","arcflags+si"
"300","1.71","1.91","1.06","0.99"
"500","1.25","2.17","0.96","1.03"
"700","1.26","1.88","0.97","1.03"
"900","1.26","1.96","0.99","1.03"
