"time_budget","reach+ss","reach+si","arcflags+ss","arcflags+si"
"200","1.53","1.45","1.08","1.05"
"300","1.55","1.56","1.10","1.06"
"400","1.54","1.52","1.10","1.13"
"500","1.54","1.42","1.06","1.06"
"600","1.59","1.46","1.13","1.09"
"700","1.57","1.53","1.12","1.20"
