"time_budget","ss","si","reach+ss","reach+si","arcflags+ss","arcflags+si"
"200","187.5","39.6","122.5","27.3","172.8","37.7"
"300","413.6","89.1","266.4","57.1","376.0","83.6"
"400","718.7","156.6","465.5","103.1","654.0","138.6"
"500","1111.2","232.5","721.5","163.4","1045.9","219.7"
"600","1649.0","324.2","1038.5","221.9","1456.5","298.7"
"700","2267.9","459.7","1448.6","299.9","2027.4","384.5"
