"time_budget","reach+ss","reach+si","arcflags+ss","arcflags+si"
"200","1.87","1.76","1.09","0.99"
"300","1.72","1.86","1.12","1.00"
"400","1.65","1.80","1.01","1.15"
"500","1.72","1.68","1.10","1.16"
"600","1.66","1.53","1.10","1.00"
"700","1.71","1.78","1.14","1.18"
