"time_budget","ss","si","reach+ss","reach+si","arcflags+ss","arcflags+si"
"300","49.1117","12.6054","6.8477","3.9675","23.0803","10.0998"
"400","87.1892","22.5140","13.9762","7.7918","41.6711","20.1434"
"500","146.6264","32.4263","17.9499","10.9129","62.8176","28.5889"
"600","224.5285","50.3500","31.4967","16.6479","88.9562","41.8355"
"700","297.0532","66.9759","34.4329","28.5083","139.9960","56.3621"
