"time_budget","ss","si","reach+ss","reach+si","arcflags+ss","arcflags+si"
"300","206.9363","50.6479","24.2061","15.4323","176.1142","36.6501"
"400","359.6664","79.3264","40.6764","24.0745","306.5348","65.3043"
"500","557.6878","117.4125","55.4394","39.5691","479.0898","99.0357"
"600","829.7511","179.3728","87.7727","52.9839","714.0995","136.3598"
"700","1073.9661","211.2773","101.3380","65.7753","862.7265","181.6461"
