"time_budget","ss","si","reach+ss","reach+si","arcflags+ss","arcflags+si"
"200","168.6","26.4","13.5","3.6","146.5","24.9"
"300","435.2","77.2","53.5","25.4","518.4","95.0"
"400","790.0","120.2","68.5","19.4","647.7","112.7"
"500","1029.7","202.6","82.0","25.0","891.9","185.6"
"600","1537.8","282.4","120.6","36.2","1285.1","237.4"
"700","2093.1","383.3","160.9","51.3","1809.3","334.0"
