"time_budget","reach+ss","reach+si","arcflags+ss","arcflags+si"
"300","8.5","3.3","1.2","1.4"
"400","8.8","3.3","1.2","1.2"
"500","10.0","3.0","1.2","1.2"
"600","9.5","3.4","1.2","1.3"
"700","11.0","3.2","1.2","1.2"
