"time_budget","ss","si","reach+ss","reach+si","arcflags+ss","arcflags+si"
"300","619.9","159.5","361.1","85.9","553.6","163.3"
"400","1063.4","306.9","645.9","170.5","1074.7","267.0"
"500","1709.2","439.2","996.4","260.7","1553.3","377.0"
"600","2280.4","564.3","1370.6","369.5","2079.4","564.4"
"700","3204.0","891.5","1874.1","500.0","2814.4","753.7"
