"time_budget","reach+ss","reach+si","arcflags+ss","arcflags+si"
"200","12.45","7.36","1.15","1.06"
"300","8.13","3.04","0.84","0.81"
"400","11.54","6.20","1.22","1.07"
"500","12.56","8.09","1.15","1.09"
"600","12.75","7.80","1.20","1.19"
"700","13.01","7.48","1.16","1.15"
